Techstack,Links
"React, Node.js, MongoDB",https://example.com/react-portfolio
"Angular, NET, SQL Server",https://example.com/angular-portfolio
"Vue.js, Ruby on Rails, PostgreSQL s Python, Django, MySQL",https://example.com/vue-portfolio
"Java, Spring Boot, Oracle Flutter, Firebase, GraphQL",https://example.com/python-portfolio
"WordPress, PHP, MySQL",https://example.com/java-portfolio
"Magento, PHP, MySQL",https://example.com/flutter-portfolio
"React Native, Node.js, MongoDB",https://example.com/wordpress-portfolio
"iOS, Swift, Core Data",https://example.com/magento-portfolio
"Android, Java, Room Persistence",https://example.com/react-native-portfolio
"Kotlin, Android, Firebase",https://example.com/ios-portfolio
"Android TV, Kotlin, Android NDK",https://example.com/android-portfolio
"iOS, Swift, ARKit",https://example.com/kotlin-android-portfolio
"Cross-platform, XamErh, Azure",https://example.com/android-tv-portfolio
"Backend, Kotlin, Spring Boot",https://example.com/ios-ar-portfolio
"Frontend, TypeScript, Angular",https://example.com/xamarin-portfolio
"Full-stack, JavaScript, Express.js",https://example.com/kotlin-backend-portfolio
"Machine Learning, Python, TensorFlow",https://example.com/typescript-frontend-portfolio
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
https://example.com/full-stack-js-portfolio,
https://example.com/ml-python-portfolio,
https://example.com/devops-portfolio,